Detuning_Normalizado,Probabilidade_P2
-1.223504721930744843e+01,3.653348489280265447e-03
-1.219307450157397632e+01,3.689723043261189123e-03
-1.215110178384050421e+01,3.723643326868847098e-03
-1.210912906610703033e+01,3.755120048969308455e-03
-1.206715634837355644e+01,3.784181096898493746e-03
-1.202518363064008433e+01,3.810843592703875952e-03
-1.198321091290661222e+01,3.835091341638242109e-03
-1.194123819517313656e+01,3.856862877305057558e-03
-1.189926547743966267e+01,3.876051897486948190e-03
-1.185729275970619057e+01,3.892518391008178719e-03
-1.181532004197271846e+01,3.906106220468184842e-03
-1.177334732423924457e+01,3.916661984818757027e-03
-1.173137460650576891e+01,3.924050702991362279e-03
-1.168940188877229680e+01,3.928165755976462808e-03
-1.164742917103882469e+01,3.928932786731250022e-03
-1.160545645330535081e+01,3.926309045584074932e-03
-1.156348373557187692e+01,3.920280415287175253e-03
-1.152151101783840481e+01,3.910857942754301063e-03
-1.147953830010493270e+01,3.898074500060639234e-03
-1.143756558237145882e+01,3.881980858745442530e-03
-1.139559286463798315e+01,3.862639687083817101e-03
-1.135362014690451105e+01,3.840116220164854419e-03
-1.131164742917103894e+01,3.814465620711855135e-03
-1.126967471143756505e+01,3.785718896857681419e-03
-1.122770199370409117e+01,3.753870916228319206e-03
-1.118572927597061906e+01,3.718874770930164376e-03
-1.114375655823714695e+01,3.680646002684875417e-03
-1.110178384050367129e+01,3.639077991373964368e-03
-1.105981112277019740e+01,3.594066696694353611e-03
-1.101783840503672529e+01,3.545539878037363198e-03
-1.097586568730325318e+01,3.493483952894577398e-03
-1.093389296956977930e+01,3.437961567916552556e-03
-1.089192025183630541e+01,3.379114958531686651e-03
-1.084994753410283330e+01,3.317153785658932645e-03
-1.080797481636936119e+01,3.252330313119639917e-03
-1.076600209863588553e+01,3.184908230364033588e-03
-1.072402938090241165e+01,3.115133016800009699e-03
-1.068205666316893954e+01,3.043210944654032701e-03
-1.064008394543546743e+01,2.969300873506508249e-03
-1.059811122770199354e+01,2.893518886708308646e-03
-1.055613850996851788e+01,2.815951968848995086e-03
-1.051416579223504577e+01,2.736674678398039271e-03
-1.047219307450157366e+01,2.655762935926849790e-03
-1.043022035676809978e+01,2.573301556870001561e-03
-1.038824763903462589e+01,2.489386035525352307e-03
-1.034627492130115378e+01,2.404122757745953947e-03
-1.030430220356768167e+01,2.317633655342878855e-03
-1.026232948583420779e+01,2.230070259039412112e-03
-1.022035676810073390e+01,2.141638150401241770e-03
-1.017838405036726002e+01,2.052627135615930822e-03
-1.013641133263378791e+01,1.963437145739730782e-03
-1.009443861490031402e+01,1.874587231910913475e-03
-1.005246589716684014e+01,1.786696794912370897e-03
-1.001049317943336803e+01,1.700434749503813413e-03
-9.968520461699894142e+00,1.616442346948458297e-03
-9.926547743966422033e+00,1.535246010344181984e-03
-9.884575026232948147e+00,1.457184149856354796e-03
-9.842602308499474262e+00,1.382373255659317610e-03
-9.800629590766002153e+00,1.310731900620116554e-03
-9.758656873032528267e+00,1.242067292123854964e-03
