Detuning_Normalizado,Probabilidade_P2
-1.727177334732423830e+01,5.283277243713857541e-03
-1.722980062959076619e+01,5.458359763695665168e-03
-1.718782791185729408e+01,5.635055397678390143e-03
-1.714585519412381842e+01,5.813178659635009383e-03
-1.710388247639034631e+01,5.992700174276673064e-03
-1.706190975865687420e+01,6.173669871871481814e-03
-1.701993704092340209e+01,6.356122707269911548e-03
-1.697796432318992643e+01,6.539994956744491286e-03
-1.693599160545645077e+01,6.725074248007478425e-03
-1.689401888772297866e+01,6.910995307619835493e-03
-1.685204616998950655e+01,7.097279511524636625e-03
-1.681007345225603444e+01,7.283403837232927010e-03
-1.676810073452255878e+01,7.468877250415412866e-03
-1.672612801678908667e+01,7.653301813208302287e-03
-1.668415529905561456e+01,7.836401695339355322e-03
-1.664218258132213890e+01,8.018013700751188896e-03
-1.660020986358866679e+01,8.198044583167099497e-03
-1.655823714585519468e+01,8.376409830593194508e-03
-1.651626442812172257e+01,8.552973125464338744e-03
-1.647429171038824691e+01,8.727504294054652667e-03
-1.643231899265477480e+01,8.899667013221104761e-03
-1.639034627492130269e+01,9.069038092564762898e-03
-1.634837355718783058e+01,9.235150773678382774e-03
-1.630640083945435492e+01,9.397547963383344471e-03
-1.626442812172087926e+01,9.555829402255612559e-03
-1.622245540398740715e+01,9.709679730733888903e-03
-1.618048268625393504e+01,9.858871036447790920e-03
-1.613850996852046293e+01,1.000324150437939541e-02
-1.609653725078698727e+01,1.014265871938158439e-02
-1.605456453305351516e+01,1.027697996840159014e-02
-1.601259181532004305e+01,1.040602163395248914e-02
-1.597061909758656917e+01,1.052954585142090380e-02
-1.592864637985309351e+01,1.064726652180547281e-02
-1.588667366211962140e+01,1.075887060088931771e-02
-1.584470094438614929e+01,1.086404628008221310e-02
-1.580272822665267540e+01,1.096250845600361956e-02
-1.576075550891920152e+01,1.105401389900750875e-02
-1.571878279118572941e+01,1.113836285795585454e-02
-1.567681007345225730e+01,1.121538886120180059e-02
-1.563483735571878341e+01,1.128494244345353351e-02
-1.559286463798530775e+01,1.134687615301381743e-02
-1.555089192025183564e+01,1.140103704879536287e-02
-1.550891920251836353e+01,1.144726952843695862e-02
-1.546694648478488965e+01,1.148542703336237480e-02
-1.542497376705141576e+01,1.151538753016350183e-02
-1.538300104931794365e+01,1.153706597924620061e-02
-1.534102833158447154e+01,1.155041786925777199e-02
-1.529905561385099588e+01,1.155543101391642499e-02
-1.525708289611752200e+01,1.155210708548075338e-02
-1.521511017838404989e+01,1.154043830261279428e-02
-1.517313746065057778e+01,1.152038691751887736e-02
-1.513116474291710389e+01,1.149187485728970365e-02
-1.508919202518363001e+01,1.145478811562964695e-02
-1.504721930745015790e+01,1.140899613933702567e-02
-1.500524658971668579e+01,1.135438191079281636e-02
-1.496327387198321013e+01,1.129087514718282378e-02
-1.492130115424973624e+01,1.121848004024198972e-02
-1.487932843651626413e+01,1.113729050445502571e-02
-1.483735571878279202e+01,1.104748941519014850e-02
-1.479538300104931814e+01,1.094933261768725116e-02
-1.475341028331584425e+01,1.084312219968106873e-02
-1.471143756558237214e+01,1.072917555701998621e-02
-1.466946484784890004e+01,1.060779670362544530e-02
-1.462749213011542437e+01,1.047925441439202104e-02
-1.458551941238195049e+01,1.034376907966785483e-02
-1.454354669464847838e+01,1.020150775268633542e-02
-1.450157397691500627e+01,1.005258570378250553e-02
-1.445960125918153238e+01,9.897073159485014759e-03
-1.441762854144805672e+01,9.735007355771690268e-03
-1.437565582371458461e+01,9.566411549280257054e-03
-1.433368310598111250e+01,9.391323026026823090e-03
-1.429171038824763862e+01,9.209830608622683948e-03
-1.424973767051416473e+01,9.022118672661403119e-03
-1.420776495278069262e+01,8.828510180881590438e-03
-1.416579223504722052e+01,8.629497420429408164e-03
-1.412381951731374663e+01,8.425747885330832007e-03
