Detuning_Normalizado,Probabilidade_P2
-1.640194489465153893e+01,8.277737349629969363e-03
-1.636952998379254609e+01,1.046048165096752358e-02
-1.633711507293354970e+01,1.343847642302928129e-02
-1.630470016207455686e+01,1.666642943000268620e-02
-1.627228525121556046e+01,1.952552763422926718e-02
-1.623987034035656407e+01,2.145109923889068626e-02
-1.620745542949757123e+01,2.205327130756870244e-02
-1.617504051863857484e+01,2.120476180768691987e-02
-1.614262560777958200e+01,1.907610496967522898e-02
-1.611021069692058560e+01,1.610917975725623119e-02
-1.607779578606158921e+01,1.293275823607256680e-02
-1.604538087520259282e+01,1.023622528301793358e-02
-1.601296596434359998e+01,8.626966612467434209e-03
-1.598055105348460359e+01,8.501091752425533887e-03
-1.594813614262560719e+01,9.955121701923148880e-03
-1.591572123176661435e+01,1.275830247123342989e-02
-1.588330632090761974e+01,1.639285953923304978e-02
-1.585089141004862334e+01,2.015531395650805788e-02
-1.581847649918962873e+01,2.329892216359800983e-02
-1.578606158833063233e+01,2.518818573647541720e-02
-1.575364667747163949e+01,2.543322828390196660e-02
-1.572123176661264310e+01,2.397544522920386917e-02
-1.568881685575364848e+01,2.110556158191463291e-02
-1.565640194489465387e+01,1.740912865695196446e-02
-1.562398703403565747e+01,1.364967564482466415e-02
-1.559157212317666286e+01,1.061300547104736952e-02
-1.555915721231766646e+01,8.944642025412518488e-03
-1.552674230145867185e+01,9.014322506740160210e-03
-1.549432739059967545e+01,1.083619318113725194e-02
-1.546191247974068261e+01,1.406202580395565435e-02
-1.542949756888168622e+01,1.804965179072231390e-02
-1.539708265802269160e+01,2.199306778001969970e-02
-1.536466774716369699e+01,2.508762108657832876e-02
-1.533225283630470237e+01,2.669611790295332507e-02
-1.529983792544570775e+01,2.648125439947654827e-02
-1.526742301458671136e+01,2.447659725399301336e-02
-1.523500810372771674e+01,2.108104210959050109e-02
-1.520259319286872035e+01,1.697760907232469946e-02
-1.517017828200972573e+01,1.299324900927490561e-02
-1.513776337115072934e+01,9.928698587635290812e-03
-1.510534846029173472e+01,8.393720239046716797e-03
-1.507293354943273833e+01,8.681957270739101840e-03
-1.504051863857374371e+01,1.071135039605046468e-02
-1.500810372771475087e+01,1.404234485341570617e-02
-1.497568881685575448e+01,1.796986060177883579e-02
-1.494327390599675986e+01,2.166962912811378275e-02
-1.491085899513776525e+01,2.436825167581970625e-02
