"Frequency","Prob.","C","D","E","F"
9192631722.200001,0.08400000000000001,53.716,58.648,0.07000000000000001,0.115
9192631722.4,0.073,56.364,60.831,0.066,0.102
9192631722.6,0.078,55.349,60.06,0.064,0.113
9192631722.799999,0.082,58.29,63.483,0.075,0.113
9192631723,0.078,59.61,64.675,0.068,0.109
9192631723.200001,0.078,57.596,62.467,0.065,0.108
9192631723.4,0.08,59.135,64.245,0.07199999999999999,0.108
9192631723.6,0.081,58.157,63.289,0.081,0.107
9192631723.799999,0.081,56.461,61.419,0.074,0.114
9192631724,0.08,57.155,62.141,0.077,0.114
9192631724.200001,0.077,55.828,60.502,0.075,0.104
9192631724.4,0.08,58.706,63.837,0.081,0.11
9192631724.6,0.082,59.212,64.47199999999999,0.08,0.109
9192631724.799999,0.082,56.758,61.818,0.06900000000000001,0.121
9192631725,0.077,57.507,62.278,0.064,0.106
9192631725.200001,0.08699999999999999,57.268,62.758,0.079,0.119
9192631725.4,0.081,58.662,63.804,0.062,0.107
9192631725.6,0.08799999999999999,57.126,62.623,0.077,0.12
9192631725.799999,0.081,56.219,61.19,0.067,0.117
9192631726,0.078,60.269,65.355,0.075,0.102
9192631726.200001,0.08400000000000001,58.467,63.808,0.078,0.123
9192631726.4,0.08500000000000001,58.789,64.268,0.08699999999999999,0.12
9192631726.6,0.08500000000000001,59.455,64.95099999999999,0.074,0.123
9192631726.799999,0.082,58.324,63.524,0.077,0.116
9192631727,0.083,59.546,64.947,0.083,0.12
9192631727.200001,0.08400000000000001,59.049,64.495,0.075,0.128
9192631727.4,0.08400000000000001,59.831,65.291,0.081,0.121
9192631727.6,0.08500000000000001,60.571,66.184,0.078,0.115
9192631727.799999,0.08599999999999999,58.308,63.769,0.079,0.121
9192631728,0.081,59.543,64.81399999999999,0.07000000000000001,0.115
9192631728.200001,0.08500000000000001,59.839,65.39400000000001,0.076,0.113
9192631728.4,0.08699999999999999,58.887,64.512,0.07099999999999999,0.121
9192631728.6,0.082,59.654,64.973,0.06900000000000001,0.114
9192631728.799999,0.08400000000000001,60.068,65.58799999999999,0.077,0.122
9192631729,0.08699999999999999,59.086,64.705,0.08500000000000001,0.125
9192631729.200001,0.08,62.379,67.782,0.074,0.116
9192631729.4,0.08599999999999999,61.137,66.86199999999999,0.08500000000000001,0.126
9192631729.6,0.083,61.74,67.316,0.08,0.124
9192631729.799999,0.08,59.345,64.54000000000001,0.076,0.115
9192631730,0.078,61.211,66.417,0.06900000000000001,0.115
9192631730.200001,0.082,62.554,68.12,0.076,0.118
9192631730.4,0.08599999999999999,61.61,67.41200000000001,0.06900000000000001,0.128
9192631730.6,0.08799999999999999,57.842,63.438,0.08,0.129
9192631730.799999,0.083,60.227,65.68000000000001,0.075,0.116
9192631731,0.08400000000000001,61.003,66.587,0.067,0.12
9192631731.200001,0.08500000000000001,59.499,65.003,0.07099999999999999,0.115
9192631731.4,0.08400000000000001,59.729,65.211,0.07199999999999999,0.12
9192631731.6,0.08699999999999999,61.104,66.92100000000001,0.075,0.124
9192631731.799999,0.08500000000000001,60.737,66.34999999999999,0.079,0.116
9192631732,0.08500000000000001,61.991,67.73,0.078,0.115
9192631732.200001,0.08799999999999999,61.937,67.898,0.08400000000000001,0.13
9192631732.4,0.082,62.201,67.72,0.089,0.118
9192631732.6,0.08500000000000001,60.375,65.979,0.08799999999999999,0.123
9192631732.799999,0.08500000000000001,62.933,68.744,0.08400000000000001,0.12
9192631733,0.08799999999999999,63.538,69.658,0.08799999999999999,0.125
