Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-1.546456692913385744e+01,1.724618635063576190e-04,2.030180978264893679e-05
-1.540157480314960559e+01,1.845154427753742041e-04,3.981018355820955287e-05
-1.533858267716535551e+01,1.998711350178657684e-04,7.227686472258063315e-05
-1.527559055118110365e+01,2.187950851164687861e-04,1.059535198439962798e-04
-1.521259842519685002e+01,2.412653512033093560e-04,1.282611899450714554e-04
-1.514960629921259816e+01,2.670096140220103924e-04,1.356372866774490618e-04
-1.508661417322834453e+01,2.956988265100817838e-04,1.388690812591854035e-04
-1.502362204724409445e+01,3.271947292943219255e-04,1.591564427550879693e-04
-1.496062992125984259e+01,3.617050236028069720e-04,2.156966582564822570e-04
-1.489763779527559073e+01,3.997420248605219211e-04,3.115528292484918559e-04
-1.483464566929134065e+01,4.418905331431575642e-04,4.270856465871633221e-04
-1.477165354330708702e+01,4.885066514390904845e-04,5.270784293791135880e-04
-1.470866141732283339e+01,5.395208790972574843e-04,5.799426097428403773e-04
-1.464566929133858153e+01,5.944696330294069186e-04,5.792238911661879569e-04
-1.458267716535432967e+01,6.527519215222455816e-04,5.541464628493601198e-04
-1.451968503937007959e+01,7.139738751267150343e-04,5.601455129540882337e-04
-1.445669291338582774e+01,7.781835143060333079e-04,6.509818144575409268e-04
-1.439370078740157410e+01,8.458521255236680844e-04,8.456826178405597990e-04
-1.433070866141732225e+01,9.176009382287196202e-04,1.109284985419870147e-03
-1.426771653543306861e+01,9.938219310488905292e-04,1.361690669043705889e-03
-1.420472440944881853e+01,1.074410322643287339e-03,1.514896999698718506e-03
-1.414173228346456668e+01,1.158769046541202781e-03,1.522198941181901076e-03
-1.407874015748031482e+01,1.246091175937577610e-03,1.413028774817964763e-03
-1.401574803149606474e+01,1.335762952687417123e-03,1.290794529435953250e-03
-1.395275590551181111e+01,1.427654509517271896e-03,1.288428457940517637e-03
-1.388976377952755925e+01,1.522125228133647864e-03,1.499532224679197157e-03
-1.382677165354330562e+01,1.619734375695099657e-03,1.919684634011279518e-03
-1.376377952755905376e+01,1.720820851748708965e-03,2.432245341500135442e-03
-1.370078740157480368e+01,1.825196083422705442e-03,2.853502005426092683e-03
-1.363779527559055182e+01,1.932131777295974890e-03,3.021411850407332549e-03
-1.357480314960629997e+01,2.040653571479851634e-03,2.885935422435099984e-03
-1.351181102362204633e+01,2.149971906004416108e-03,2.552148218953455370e-03
-1.344881889763779270e+01,2.259798955801411036e-03,2.246267320421337175e-03
-1.338582677165354262e+01,2.370365300914410722e-03,2.212412633680102721e-03
-1.332283464566929077e+01,2.482125311310178113e-03,2.586190789828731428e-03
-1.325984251968503891e+01,2.595323209414456336e-03,3.309392234191829967e-03
-1.319685039370078883e+01,2.709674280697552031e-03,4.136024688001308999e-03
-1.313385826771653520e+01,2.824348529186474117e-03,4.737382714399052119e-03
-1.307086614173228334e+01,2.938266535070527090e-03,4.862404977121836426e-03
-1.300787401574802971e+01,3.050534077167749766e-03,4.475620155228153714e-03
-1.294488188976377785e+01,3.160761207057199724e-03,3.798396064272038970e-03
-1.288188976377952777e+01,3.269080111597929411e-03,3.222019783002943744e-03
-1.281889763779527591e+01,3.375853052702025309e-03,3.124716781270226069e-03
-1.275590551181102406e+01,3.481242307233207902e-03,3.677678510631909349e-03
-1.269291338582677042e+01,3.584892729586309883e-03,4.738796104981859991e-03
-1.262992125984252034e+01,3.685909913886682709e-03,5.896436347679854216e-03
-1.256692913385826671e+01,3.783144754051888208e-03,6.653821476387356514e-03
-1.250393700787401485e+01,3.875620183233088618e-03,6.671669851336853307e-03
-1.244094488188976300e+01,3.962858664451493484e-03,5.950369982765921217e-03
-1.237795275590551292e+01,4.044930669682325619e-03,4.854722280382000286e-03
-1.231496062992126106e+01,4.122204798988024152e-03,3.957319401859491804e-03
-1.225196850393700743e+01,4.194944696764181871e-03,3.767074905621639342e-03
-1.218897637795275379e+01,4.262974466296086049e-03,4.472055565180691264e-03
-1.212598425196850371e+01,4.325585902715796058e-03,5.826738326360043733e-03
-1.206299212598425186e+01,4.381722964559417802e-03,7.248754095817899236e-03
-1.200000000000000000e+01,4.430333537041464091e-03,8.088353466021830016e-03
-1.193700787401574814e+01,4.470704002093028699e-03,7.945001041036301240e-03
-1.187401574803149451e+01,4.502619560762792343e-03,6.875516335460443197e-03
-1.181102362204724443e+01,4.526295032046254163e-03,5.385205591250344370e-03
-1.174803149606299080e+01,4.542134098648334048e-03,4.197271342279151884e-03
-1.168503937007873894e+01,4.550441843673076400e-03,3.906393548854120330e-03
-1.162204724409448708e+01,4.551213799010207957e-03,4.684111218398832356e-03
-1.155905511811023700e+01,4.544072278191287409e-03,6.183470393955026526e-03
-1.149606299212598515e+01,4.528354746841374394e-03,7.695667927924679588e-03
-1.143307086614173151e+01,4.503309473635684103e-03,8.487504640224541666e-03
-1.137007874015747966e+01,4.468329550157769219e-03,8.156949879472127213e-03
-1.130708661417322780e+01,4.423150747980368440e-03,6.831893948016365403e-03
-1.124409448818897594e+01,4.367945184710834115e-03,5.112120879714109230e-03
-1.118110236220472409e+01,4.303265351660854644e-03,3.780605618363196401e-03
-1.111811023622047223e+01,4.229839839335054578e-03,3.424819266505029804e-03
-1.105511811023622215e+01,4.148288381456469685e-03,4.154058487731774642e-03
-1.099212598425196852e+01,4.058881294171158213e-03,5.551496770866182900e-03
-1.092913385826771488e+01,3.961475142620758845e-03,6.882997020179846583e-03
-1.086614173228346303e+01,3.855686653856914455e-03,7.457314352824079458e-03
-1.080314960629921295e+01,3.741239775639451041e-03,6.958348358176047466e-03
-1.074015748031496109e+01,3.618303848365952806e-03,5.586593528076876439e-03
-1.067716535433070923e+01,3.487615610436158985e-03,3.944772123098556557e-03
-1.061417322834645560e+01,3.350283901218356359e-03,2.731353783121680083e-03
-1.055118110236220552e+01,3.207370928165814358e-03,2.399592102712826830e-03
-1.048818897637795189e+01,3.059512521634033620e-03,2.951862324930697775e-03
-1.042519685039370003e+01,2.906858667836012631e-03,3.965200146462680847e-03
-1.036220472440944818e+01,2.749439591458968830e-03,4.824050582683967782e-03
-1.029921259842519810e+01,2.587774412117329562e-03,5.033124107020532992e-03
-1.023622047244094446e+01,2.423319293420508110e-03,4.449312736268884808e-03
-1.017322834645669261e+01,2.258372106329502305e-03,3.321688052438755753e-03
-1.011023622047244075e+01,2.095351546321688047e-03,2.133173838517698345e-03
-1.004724409448818889e+01,1.935802152432550879e-03,1.339535821851276258e-03
-9.984251968503937036e+00,1.779767957669329713e-03,1.147451618158774455e-03
-9.921259842519685179e+00,1.626088583791030200e-03,1.442223921124785677e-03
-9.858267716535433323e+00,1.473674035787506109e-03,1.888165703222964261e-03
-9.795275590551181466e+00,1.323154659635621946e-03,2.131215215289317729e-03
-9.732283464566929609e+00,1.177893480648850967e-03,1.985040490131113194e-03
-9.669291338582677753e+00,1.043524615607654797e-03,1.502356406311527873e-03
-9.606299212598424120e+00,9.259588359562974033e-04,9.064353412264765765e-04
-9.543307086614172263e+00,8.287927157491993459e-04,4.389321595529066446e-04
